,Method,model,n,d,p,snr,prop_miss,seed,time,citcio,m,r,d_miwae,sig_prior,num_samples_zmul,learning_rate,n_epochs,elbo,tau_dr,tau_ols,tau_ols_ps,tau_resid
29,X,dlvm,1000,3,10,10.0,0.1,0,0,False,,,,,,,,,0.8057153175816552,0.7924791327174785,0.7130198892180236,0.797442924638206
30,Mean_imp,dlvm,1000,3,10,10.0,0.1,0,0,False,,,,,,,,,0.8433123184803489,0.8376687803845941,0.7289426226528519,0.8418460447195134
31,MI,dlvm,1000,3,10,10.0,0.1,0,2,False,10.0,,,,,,,,0.7904993956120991,0.8309351155421763,0.8217947074346474,0.8268243582492725
32,MF,dlvm,1000,3,10,10.0,0.1,0,329,False,,10.0,,,,,,,0.8326215521245371,0.8187119807626939,0.739863753751413,0.8251120445384501
33,MDC.process,dlvm,1000,3,10,10.0,0.1,0,206,False,,,3.0,0.1,20.0,0.0001,10.0,-26.68545150756836,0.9929803621417603,0.9930400074818261,0.9939906164883264,0.9928981186817573
34,MDC.mi,dlvm,1000,3,10,10.0,0.1,0,206,False,,,3.0,0.1,20.0,0.0001,10.0,-26.68545150756836,0.9612226027622691,0.9611120371357016,0.9607491401412558,0.9611113351054955
35,Z,dlvm,1000,3,10,10.0,0.1,1,0,False,,,,,,,,,1.1081324997830948,1.0695356069991413,1.0263249993139478,1.0561420078958408
36,X,dlvm,1000,3,10,10.0,0.1,1,0,False,,,,,,,,,0.975352487101049,0.9567027856140498,0.8083030568746404,0.9619058099649137
37,Mean_imp,dlvm,1000,3,10,10.0,0.1,1,0,False,,,,,,,,,0.9730723324671328,0.9556131982355411,0.829894614282895,0.9625428414001486
38,MI,dlvm,1000,3,10,10.0,0.1,1,2,False,10.0,,,,,,,,0.8733980712459557,0.9703628109278195,0.9548160277868988,0.9603442670384703
39,MF,dlvm,1000,3,10,10.0,0.1,1,344,False,,10.0,,,,,,,0.9510195447271053,0.9289588659317736,0.7885621694344077,0.9367460585879173
40,MDC.process,dlvm,1000,3,10,10.0,0.1,1,218,False,,,3.0,0.1,20.0,0.0001,10.0,-25.95531463623047,1.1300106294236256,1.1327007152577493,1.1300467449076577,1.1300111047608912
41,MDC.mi,dlvm,1000,3,10,10.0,0.1,1,218,False,,,3.0,0.1,20.0,0.0001,10.0,-25.95531463623047,1.160542939441224,1.1602534701300182,1.1589733389751964,1.160259649003059
